calibration_bias,seed,terminal_pnl,fill_count,spread_capture,adverse_selection,settlement_noise,identity_error,as_INFORMED,as_VALUE,as_NOISE
-0.0599999999999999,18,-191.59327373121536,968,19.359999999999996,-53.335683814698086,-157.61758991651732,2.842170943040401e-14,-34.30411464438062,-20.04272378225911,1.0111546119416448
-0.0599999999999999,19,412.1850583669717,942,18.839999999999996,-53.86765037821196,447.2127087451838,1.7053025658242404e-13,-33.62460125207387,-19.9180592707254,-0.32498985541269565
-0.0599999999999999,20,-144.71820347596906,973,19.459999999999997,-54.17485329184127,-110.0033501841281,3.126388037344441e-13,-34.15735929564378,-18.73529338944109,-1.2822006067564085
-0.0599999999999999,21,-296.73276120566373,999,19.98,-54.596855187275246,-262.1159060183881,3.979039320256561e-13,-35.55005757800406,-18.85601183946317,-0.19078576980801865
-0.0599999999999999,22,-295.9543912436996,983,19.66000000000001,-51.73394196477189,-263.8804492789276,1.7053025658242404e-13,-33.21056462280157,-21.028252845188028,2.5048755032177166
-0.0599999999999999,23,108.83109010814772,965,17.773976562424394,-49.32386191805471,140.38097546377796,8.526512829121202e-14,-31.680028766124735,-18.002274372985664,0.3584412210556903
-0.0599999999999999,24,164.3602931156774,969,18.41219124185212,-49.18487010499413,195.1329719788191,2.8421709430404007e-13,-33.21335671228762,-16.36029780626749,0.3887844135609766
-0.0599999999999999,25,-246.58770040056936,1016,20.320000000000004,-55.95557581742772,-210.95212458314148,1.7053025658242404e-13,-35.73330097514712,-19.073850219501047,-1.1484246227795625
-0.0599999999999999,26,129.97923824235605,901,17.01034146126731,-46.90876489230298,159.8776616733919,1.9895196601282805e-13,-29.354452246842584,-16.820939556790492,-0.7333730886699047
-0.0599999999999999,27,316.77989363047305,1028,20.560000000000006,-56.32471481951626,352.5446084499895,1.7053025658242404e-13,-37.21382233019623,-20.763195218167937,1.652302728847913
-0.0599999999999999,28,297.5354717118551,955,19.10000000000001,-55.11429813420638,333.54976984606117,2.8421709430404007e-13,-34.487209932249925,-20.42500242384383,-0.20208577811261952
-0.0599999999999999,29,-185.96923966461608,990,19.8,-55.12410298016443,-150.6451366844521,4.263256414560601e-13,-35.827353910213084,-19.74461881162689,0.4478697416755414
-0.04,0,-107.86306276032536,900,18.000000000000014,-38.46323771031162,-87.39982505001385,8.526512829121202e-14,-23.246791156319638,-14.162316365666376,-1.054130188325607
-0.04,1,289.5575675148966,895,17.900000000000013,-38.94623885169034,310.60380636658704,1.1368683772161603e-13,-25.660715041629572,-13.892536046156033,0.607012236095267
-0.04,2,190.74645298986323,875,17.500000000000014,-39.89780146534387,213.14425445520683,2.5579538487363607e-13,-25.490243921145954,-14.594214144588591,0.18665660039067755
-0.04,3,178.05508762344158,843,16.728529954985305,-36.25071416426394,197.5772718327202,0.0,-23.61417489304629,-12.999587028868223,0.36304775765057107
-0.04,4,148.07393705367215,889,17.46219030357517,-36.7300784313339,167.34182518143092,2.842170943040401e-14,-25.238970560074712,-11.916356240608884,0.42524836934969423
-0.04,5,-257.9547620211493,856,16.36318962689662,-34.68457615156127,-239.63337549648463,0.0,-22.35450081539544,-12.18849237689422,-0.1415829592716112
-0.04,6,204.06602340847613,896,17.702162126712377,-36.63938175127332,223.003243033037,8.526512829121202e-14,-23.88991831866212,-14.25066293340998,1.50119950079878
-0.04,7,-146.54034661637752,932,18.640000000000015,-41.751099506371084,-123.42924711000632,1.4210854715202004e-13,-28.217606875437106,-14.25114409410707,0.7176514631730928
-0.04,8,125.57838779166418,881,17.175451655857987,-37.25008738022041,145.65302351602654,7.105427357601002e-14,-22.625363052765756,-13.54547639908489,-1.07924792836976
-0.04,9,87.65505355591074,853,16.624661827573007,-38.551440965911624,109.58183269424936,0.0,-23.43185404427745,-14.901774414948239,-0.21781250668594165
-0.04,10,-142.37650191075966,913,18.260000000000012,-40.28928860453509,-120.34721330622435,2.2737367544323206e-13,-25.700434591997013,-15.027326351495969,0.43847233895789783
